"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"LiberationSans-Italic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSans-Italic.ttf","Liberation Sans Italic","Liberation Sans","LiberationSans-Italic",FALSE,TRUE,FALSE,NA
NA,"LiberationSansNarrow-Regular.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Regular.ttf","Liberation Sans Narrow","Liberation Sans Narrow","LiberationSansNarrow",FALSE,FALSE,FALSE,NA
NA,"LiberationSansNarrow-Bold.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Bold.ttf","Liberation Sans Narrow Bold","Liberation Sans Narrow","LiberationSansNarrow-Bold",TRUE,FALSE,FALSE,NA
NA,"LiberationSansNarrow-BoldItalic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSansNarrow-BoldItalic.ttf","Liberation Sans Narrow Bold Italic","Liberation Sans Narrow","LiberationSansNarrow-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"LiberationSansNarrow-Italic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Italic.ttf","Liberation Sans Narrow Italic","Liberation Sans Narrow","LiberationSansNarrow-Italic",FALSE,TRUE,FALSE,NA
NA,"LiberationSerif-Regular.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSerif-Regular.ttf","Liberation Serif","Liberation Serif","LiberationSerif",FALSE,FALSE,FALSE,NA
NA,"LiberationSerif-Bold.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSerif-Bold.ttf","Liberation Serif Bold","Liberation Serif","LiberationSerif-Bold",TRUE,FALSE,FALSE,NA
NA,"LiberationSerif-BoldItalic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSerif-BoldItalic.ttf","Liberation Serif Bold Italic","Liberation Serif","LiberationSerif-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"LiberationSerif-Italic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSerif-Italic.ttf","Liberation Serif Italic","Liberation Serif","LiberationSerif-Italic",FALSE,TRUE,FALSE,NA
NA,"luximr.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximr.ttf","Luxi Mono Regular","Luxi Mono","LuxiMono",FALSE,FALSE,FALSE,NA
NA,"luximb.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximb.ttf","Luxi Mono Bold","Luxi Mono","LuxiMono-Bold",TRUE,FALSE,FALSE,NA
NA,"luximbi.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximbi.ttf","Luxi Mono Bold Oblique","Luxi Mono","LuxiMono-BoldOblique",TRUE,TRUE,FALSE,NA
NA,"luximri.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximri.ttf","Luxi Mono Oblique","Luxi Mono","LuxiMono-Oblique",FALSE,TRUE,FALSE,NA
NA,"luxisr.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisr.ttf","Luxi Sans Regular","Luxi Sans","LuxiSans",FALSE,FALSE,FALSE,NA
NA,"luxisb.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisb.ttf","Luxi Sans Bold","Luxi Sans","LuxiSans-Bold",TRUE,FALSE,FALSE,NA
NA,"luxisbi.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisbi.ttf","Luxi Sans Bold Oblique","Luxi Sans","LuxiSans-BoldOblique",TRUE,TRUE,FALSE,NA
NA,"luxisri.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisri.ttf","Luxi Sans Oblique","Luxi Sans","LuxiSans-Oblique",FALSE,TRUE,FALSE,NA
NA,"luxirr.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirr.ttf","Luxi Serif Regular","Luxi Serif","LuxiSerif",FALSE,FALSE,FALSE,NA
NA,"luxirb.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirb.ttf","Luxi Serif Bold","Luxi Serif","LuxiSerif-Bold",TRUE,FALSE,FALSE,NA
NA,"luxirbi.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirbi.ttf","Luxi Serif Bold Oblique","Luxi Serif","LuxiSerif-BoldOblique",TRUE,TRUE,FALSE,NA
NA,"luxirri.afm.gz","/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirri.ttf","Luxi Serif Oblique","Luxi Serif","LuxiSerif-Oblique",FALSE,TRUE,FALSE,NA
NA,"NanumBarunGothic.afm.gz","/usr/share/fonts/truetype/nanum/NanumBarunGothic.ttf","NanumBarunGothic","NanumBarunGothic","NanumBarunGothic",FALSE,FALSE,FALSE,NA
NA,"NanumBarunGothicBold.afm.gz","/usr/share/fonts/truetype/nanum/NanumBarunGothicBold.ttf","NanumBarunGothic Bold","NanumBarunGothic","NanumBarunGothicBold",TRUE,FALSE,FALSE,NA
NA,"NanumGothic.afm.gz","/usr/share/fonts/truetype/nanum/NanumGothic.ttf","NanumGothic","NanumGothic","NanumGothic",FALSE,FALSE,FALSE,NA
NA,"NanumGothicBold.afm.gz","/usr/share/fonts/truetype/nanum/NanumGothicBold.ttf","NanumGothicBold","NanumGothic","NanumGothicBold",TRUE,FALSE,FALSE,NA
NA,"NanumMyeongjo.afm.gz","/usr/share/fonts/truetype/nanum/NanumMyeongjo.ttf","NanumMyeongjo","NanumMyeongjo","NanumMyeongjo",FALSE,FALSE,FALSE,NA
NA,"NanumMyeongjoBold.afm.gz","/usr/share/fonts/truetype/nanum/NanumMyeongjoBold.ttf","NanumMyeongjoBold","NanumMyeongjo","NanumMyeongjoBold",TRUE,FALSE,FALSE,NA
